Cat_Code,SBAOfficeCode_cat,ProcessingMethod_cat,LoanStatus_cat,Term_cat,ServicingLenderName_cat,RuralUrbanIndicator_cat,HubzoneIndicator_cat,LMIIndicator_cat,BusinessAgeDescription_cat,CD_cat,Race_cat,Ethnicity_cat,BusinessType_cat,OriginatingLender_cat,Gender_cat,Veteran_cat,NonProfit_cat,NAICSCode_2digits_cat,Verified_Address_cat,CaseLabel_cat
3999,,,,,The Granger National Bank,,,,,,,,,The First Trust and Savings Bank of Watseka,,,,,,
4000,,,,,The Grant County Bank,,,,,,,,,The Fisher National Bank,,,,,,
4001,,,,,The Granville National Bank,,,,,,,,,The Fort Jennings State Bank,,,,,,
4002,,,,,The Greenwood's State Bank,,,,,,,,,The Fountain Trust Company,,,,,,
4003,,,,,The Guilford Savings Bank,,,,,,,,,The Frederick Community Bank,,,,,,
4004,,,,,The Gunnison Bank and Trust Company,,,,,,,,,The Freedom Bank of Virginia,,,,,,
4005,,,,,The Halstead Bank,,,,,,,,,The Friendship State Bank,,,,,,
4006,,,,,The Hamilton Bank,,,,,,,,,The Galion Building and Loan Bank,,,,,,
4007,,,,,The Hamler State Bank,,,,,,,,,The Garrett State Bank,,,,,,
4008,,,,,The Harbor Bank of Maryland,,,,,,,,,The Gary State Bank,,,,,,
4009,,,,,The Hardin County Bank,,,,,,,,,The Genoa Banking Company,,,,,,
4010,,,,,The Harrison County Bank,,,,,,,,,The Geo. D. Warthen Bank,,,,,,
4011,,,,,The Harvard State Bank,,,,,,,,,The Gerber State Bank,,,,,,
4012,,,,,The Haviland State Bank,,,,,,,,,The Gifford State Bank,,,,,,
4013,,,,,The Hershey State Bank,,,,,,,,,The Goose River Bank,,,,,,
4014,,,,,The Hicksville Bank,,,,,,,,,The Granger National Bank,,,,,,
4015,,,,,The Hill-Dodge Banking Company,,,,,,,,,The Grant County Bank,,,,,,
4016,,,,,The Hocking Valley Bank,,,,,,,,,The Granville National Bank,,,,,,
4017,,,,,The Home National Bank of Thorntown,,,,,,,,,The Greenwood's State Bank,,,,,,
4018,,,,,The Home Trust & Savings Bank,,,,,,,,,The Guilford Savings Bank,,,,,,
4019,,,,,The HomeTown Bank of Alabama,,,,,,,,,The Gunnison Bank and Trust Company,,,,,,
4020,,,,,The Hometown Savings Bank,,,,,,,,,The Halstead Bank,,,,,,
4021,,,,,The Honesdale National Bank,,,,,,,,,The Hamilton Bank,,,,,,
4022,,,,,The Howard State Bank,,,,,,,,,The Hamler State Bank,,,,,,
4023,,,,,The Huntington National Bank,,,,,,,,,The Harbor Bank of Maryland,,,,,,
4024,,,,,The Idabel National Bank,,,,,,,,,The Hardin County Bank,,,,,,
4025,,,,,The International Bank of Amherst,,,,,,,,,The Harrison County Bank,,,,,,
4026,,,,,The Jacksboro National Bank,,,,,,,,,The Harvard State Bank,,,,,,
4027,,,,,The Jefferson Bank,,,,,,,,,The Haviland State Bank,,,,,,
4028,,,,,The Juniata Valley Bank,,,,,,,,,The Hershey State Bank,,,,,,
4029,,,,,The Kansas State Bank,,,,,,,,,The Hicksville Bank,,,,,,
4030,,,,,The Karnes County National Bank,,,,,,,,,The Hill-Dodge Banking Company,,,,,,
4031,,,,,The Killbuck Savings Bank Co.,,,,,,,,,The Hocking Valley Bank,,,,,,
4032,,,,,The Lamesa National Bank,,,,,,,,,The Home National Bank of Thorntown,,,,,,
4033,,,,,The Lauderdale County Bank,,,,,,,,,The Home Trust & Savings Bank,,,,,,
4034,,,,,The Liberty National Bank in Paris,,,,,,,,,The HomeTown Bank of Alabama,,,,,,
4035,,,,,The Lincoln National Bank of Hodgenville,,,,,,,,,The Hometown Savings Bank,,,,,,
4036,,,,,The Litchfield National Bank,,,,,,,,,The Honesdale National Bank,,,,,,
4037,,,,,The Lowell Five Cent Savings Bank,,,,,,,,,The Howard State Bank,,,,,,
4038,,,,,The Lyndon State Bank,,,,,,,,,The Huntington National Bank,,,,,,
4039,,,,,The Lyon County State Bank,,,,,,,,,The Idabel National Bank,,,,,,
4040,,,,,The Lyons National Bank,,,,,,,,,The International Bank of Amherst,,,,,,
4041,,,,,The MINT National Bank,,,,,,,,,The Jacksboro National Bank,,,,,,
4042,,,,,The Malvern National Bank,,,,,,,,,The Jefferson Bank,,,,,,
4043,,,,,The Marblehead Bank,,,,,,,,,The Juniata Valley Bank,,,,,,
4044,,,,,The Maries County Bank,,,,,,,,,The Kansas State Bank,,,,,,
4045,,,,,The Marion National Bank,,,,,,,,,The Karnes County National Bank,,,,,,
4046,,,,,The Mer Rouge State Bank,,,,,,,,,The Killbuck Savings Bank Co.,,,,,,
4047,,,,,"The Mercantile Bank of Louisiana, Missouri",,,,,,,,,The Lamesa National Bank,,,,,,
4048,,,,,The Merchants & Citizens Bank,,,,,,,,,The Lauderdale County Bank,,,,,,
4049,,,,,The Merchants & Planters Bank,,,,,,,,,The Liberty National Bank in Paris,,,,,,
4050,,,,,The Merchants National Bank,,,,,,,,,The Lincoln National Bank of Hodgenville,,,,,,
4051,,,,,The Metamora State Bank,,,,,,,,,The Litchfield National Bank,,,,,,
4052,,,,,The Middlefield Banking Company,,,,,,,,,The Lowell Five Cent Savings Bank,,,,,,
4053,,,,,The Milford Bank,,,,,,,,,The Lyndon State Bank,,,,,,
4054,,,,,The Millyard Bank,,,,,,,,,The Lyon County State Bank,,,,,,
4055,,,,,The Miners National Bank of Eveleth,,,,,,,,,The Lyons National Bank,,,,,,
4056,,,,,The Missouri Bank,,,,,,,,,The MINT National Bank,,,,,,
4057,,,,,The Muncy Bank and Trust Company,,,,,,,,,The Malvern National Bank,,,,,,
4058,,,,,The Murray Bank,,,,,,,,,The Marblehead Bank,,,,,,
4059,,,,,The Napoleon State Bank,,,,,,,,,The Maries County Bank,,,,,,
4060,,,,,The National Bank of Adams County of West Union,,,,,,,,,The Marion National Bank,,,,,,
4061,,,,,The National Bank of Andrews,,,,,,,,,The Mer Rouge State Bank,,,,,,
4062,,,,,The National Bank of Blacksburg,,,,,,,,,"The Mercantile Bank of Louisiana, Missouri",,,,,,
4063,,,,,The National Bank of Coxsackie,,,,,,,,,The Merchants & Citizens Bank,,,,,,
4064,,,,,The National Bank of Indianapolis,,,,,,,,,The Merchants & Planters Bank,,,,,,
4065,,,,,The National Bank of Malvern,,,,,,,,,The Merchants National Bank,,,,,,
4066,,,,,The National Capital Bank of Washington,,,,,,,,,The Metamora State Bank,,,,,,
4067,,,,,The National Grand Bank of Marblehead,,,,,,,,,The Middlefield Banking Company,,,,,,
4068,,,,,The National Iron Bank,,,,,,,,,The Milford Bank,,,,,,
4069,,,,,The Neffs National Bank,,,,,,,,,The Millyard Bank,,,,,,
4070,,,,,The New Washington State Bank,,,,,,,,,The Miners National Bank of Eveleth,,,,,,
4071,,,,,The Nodaway Valley Bank,,,,,,,,,The Missouri Bank,,,,,,
4072,,,,,The North Country Savings Bank,,,,,,,,,The Muncy Bank and Trust Company,,,,,,
4073,,,,,The North Salem State Bank,,,,,,,,,The Murray Bank,,,,,,
4074,,,,,The North Side Bank and Trust Company,,,,,,,,,The Napoleon State Bank,,,,,,
4075,,,,,The Northern State Bank of Gonvick,,,,,,,,,The National Bank of Adams County of West Union,,,,,,
4076,,,,,The Northern Trust Company,,,,,,,,,The National Bank of Andrews,,,,,,
4077,,,,,The Northumberland National Bank,,,,,,,,,The National Bank of Blacksburg,,,,,,
4078,,,,,The Northwestern Bank,,,,,,,,,The National Bank of Coxsackie,,,,,,
4079,,,,,The Ohio Valley Bank Company,,,,,,,,,The National Bank of Indianapolis,,,,,,
4080,,,,,The Old Exchange National Bank of Okawville,,,,,,,,,The National Bank of Malvern,,,,,,
4081,,,,,The Old Fort Banking Company,,,,,,,,,The National Capital Bank of Washington,,,,,,
4082,,,,,The Old Point National Bank of Phoebus,,,,,,,,,The National Grand Bank of Marblehead,,,,,,
4083,,,,,The Ottoville Bank Company,,,,,,,,,The National Iron Bank,,,,,,
4084,,,,,The Paducah Bank and Trust Company,,,,,,,,,The Neffs National Bank,,,,,,
4085,,,,,The Park Bank,,,,,,,,,The New Washington State Bank,,,,,,
4086,,,,,The Park National Bank,,,,,,,,,The Nodaway Valley Bank,,,,,,
4087,,,,,The Pataskala Banking Company,,,,,,,,,The North Country Savings Bank,,,,,,
4088,,,,,The Pauls Valley National Bank,,,,,,,,,The North Salem State Bank,,,,,,
4089,,,,,The Payne County Bank,,,,,,,,,The North Side Bank and Trust Company,,,,,,
4090,,,,,The Pecos County State Bank,,,,,,,,,The Northern State Bank of Gonvick,,,,,,
4091,,,,,The Pennsville National Bank,,,,,,,,,The Northern Trust Company,,,,,,
4092,,,,,The Peoples Bank,,,,,,,,,The Northumberland National Bank,,,,,,
4093,,,,,The Peoples Bank & Trust Company of Pointe Coupee Parish,,,,,,,,,The Northwestern Bank,,,,,,
4094,,,,,The Peoples Bank Co,,,,,,,,,The Ohio Valley Bank Company,,,,,,
4095,,,,,The Peoples Bank of Georgia,,,,,,,,,The Old Exchange National Bank of Okawville,,,,,,
4096,,,,,The Peoples Community Bank,,,,,,,,,The Old Fort Banking Company,,,,,,
4097,,,,,The Peoples National Bank of Checotah,,,,,,,,,The Old Point National Bank of Phoebus,,,,,,
4098,,,,,The Peoples Savings Bank,,,,,,,,,The Ottoville Bank Company,,,,,,
4099,,,,,The Peoples State Bank,,,,,,,,,The Paducah Bank and Trust Company,,,,,,
4100,,,,,"The Peoples State Bank of Newton, Illinois",,,,,,,,,The Park Bank,,,,,,
4101,,,,,The Perryton National Bank,,,,,,,,,The Park National Bank,,,,,,
4102,,,,,The Peshtigo National Bank,,,,,,,,,The Pataskala Banking Company,,,,,,
4103,,,,,The Piedmont Bank,,,,,,,,,The Pauls Valley National Bank,,,,,,
4104,,,,,The Pineries Bank,,,,,,,,,The Payne County Bank,,,,,,
4105,,,,,The Pittsfield Co-Operative Bank,,,,,,,,,The Pecos County State Bank,,,,,,
4106,,,,,The Plains State Bank,,,,,,,,,The Pennsville National Bank,,,,,,
